canonical_gp,gp_display_name,fund_name,vintage_year,fund_category,sub_strategy,fund_size_usd_m,fund_size_confidence,firm_aum_usd_b,firm_founded,hq_city,investment_focus,stage_focus,notable_portfolio,source,reporting_period,tvpi,dpi,net_irr,irr_meaningful,performance_note,gross_tvpi,gross_dpi,data_source_type,vintage_source
General Catalyst,General Catalyst,"General Catalyst Group XII - Health Assurance, L.P.",2024.0,Growth,Health Assurance,750.0,Confirmed,32.0,2000.0,San Francisco CA,Healthcare transformation | Digital health | AI in health,Growth (Health-focused),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Continuation of GC Health Assurance strategy.,,,LP-Disclosed,unknown
General Catalyst,General Catalyst,"General Catalyst Group XII - Ignition, L.P.",2024.0,Venture,Early VC,1500.0,Estimated,32.0,2000.0,San Francisco CA,AI | Enterprise | Fintech | Defense | Climate,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. GC's early-stage arm within Fund XII ($8B raise).,,,LP-Disclosed,unknown
General Catalyst,General Catalyst,"General Catalyst Group XII, L.P.",2024.0,Venture,Multi-Stage VC,6000.0,Confirmed,32.0,2000.0,San Francisco CA,AI | Enterprise | Fintech | Defense | Climate | Healthcare,Multi-Stage,"Airbnb, Stripe, Canva, Mistral AI",WSIB,ir093024,1.1,,0.138,False,Early-stage performance. 13.8% IRR with 1.1x TVPI — on track but very young.,,,LP-Disclosed,unknown
Hedosophia,Hedosophia,Hedosophia Partners VI L.P.,2024.0,Growth,Opportunities,3000.0,Estimated,10.0,2009.0,London UK,Consumer tech | Enterprise | Climate | AI,Late Stage / Crossover,"Airbnb, Bumble, Wealthsimple",CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. SPAC-adjacent growth/crossover vehicle (Ian Osborne).,,,LP-Disclosed,unknown
Hedosophia,Hedosophia,Hedosophia Strategic Partners L.P.,2024.0,Growth,Opportunities,500.0,Estimated,10.0,2009.0,London UK,Concentrated positions | Consumer tech,Late Stage / Crossover,,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Concentrated strategic positions vehicle.,,,LP-Disclosed,unknown
HongShan,HongShan (formerly Sequoia China),"HongShan Capital Expansion Fund I, L.P.",2024.0,Growth,Opportunities,3000.0,Estimated,15.0,2005.0,Beijing China,Chinese tech | AI | Late-stage,Late Stage / Crossover,,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. First standalone expansion/crossover vehicle since Sequoia China independence.,,,LP-Disclosed,unknown
HongShan,HongShan,HongShan Capital Growth 2010 Fund LP,2010.0,Growth,Growth Equity,700.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Growth (Series C–F),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,3.05,2.71,0.2,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
HongShan,HongShan (formerly Sequoia China),"HongShan Capital Growth Fund VII, L.P.",2023.0,Growth,Growth Equity,2000.0,Estimated,15.0,2005.0,Beijing China,Chinese tech | AI | Consumer | Enterprise,Growth (Series C–F),,CalPERS,unknown,1.0,0.0,,False,Too early — 2023 vintage. Growth equity vehicle in China market.,,,LP-Disclosed,unknown
HongShan,HongShan (formerly Sequoia China),"HongShan Capital Seed Fund III, L.P.",2022.0,Venture,Early VC,600.0,Estimated,15.0,2005.0,Beijing China,Chinese tech | AI | Consumer | Enterprise | Biotech,Early (Seed–Series A),,CalPERS,unknown,1.0,0.0,-0.096,False,Negative IRR (-9.6%) reflects China tech market headwinds post-2021 regulatory crackdown. Watch carefully.,,,LP-Disclosed,unknown
HongShan,HongShan,HongShan Capital Venture 2010 Fund LP,2010.0,Venture,Early VC,500.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Early (Seed–Series B),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,5.72,4.72,0.32,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
HongShan,HongShan (formerly Sequoia China),"HongShan Capital Venture Fund IX, L.P.",2022.0,Venture,Early VC,900.0,Estimated,15.0,2005.0,Beijing China,Chinese tech | AI | Consumer | Enterprise,Early (Series A–B),,CalPERS,unknown,1.0,0.0,-0.085,False,Negative IRR (-8.5%) — same China tech market headwinds. HongShan became independent from Sequoia in 2023.,,,LP-Disclosed,unknown
HongShan,HongShan,HongShan China Expansion I,2022.0,Growth,Opportunities,1000.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Late Stage / Crossover,"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,,,,False,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
HongShan,HongShan,"HongShan China Growth Fund V, L.P.",2018.0,Growth,Growth Equity,2500.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Growth (Series C–F),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,1.96,0.0,0.146,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
HongShan,HongShan,HongShan China Growth VI,2020.0,Growth,Growth Equity,2500.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Growth (Series C–F),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,0.97,0.0,-0.011,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
HongShan,HongShan,HongShan China Growth VII,2022.0,Growth,Growth Equity,2500.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Growth (Series C–F),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,,,,False,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
HongShan,HongShan,"HongShan China Seed Fund I, L.P.",2018.0,Venture,Seed,200.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Pre-Seed/Seed,"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,1.08,0.0,0.018,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
HongShan,HongShan,HongShan China Seed II,2020.0,Venture,Seed,200.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Pre-Seed/Seed,"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,1.02,0.0,0.008,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
HongShan,HongShan,HongShan China Seed III,2022.0,Venture,Seed,200.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Pre-Seed/Seed,"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,,,,False,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
HongShan,HongShan,HongShan China Venture Fund VII,2018.0,Venture,Early VC,900.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Early (Seed–Series B),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,1.17,0.0,0.033,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
HongShan,HongShan,HongShan China Venture IX,2022.0,Venture,Early VC,900.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Early (Seed–Series B),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,,,,False,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
HongShan,HongShan,HongShan China Venture VIII,2020.0,Venture,Early VC,900.0,Estimated,9.0,2005.0,Beijing China,Chinese tech | Consumer | SaaS | Biotech,Early (Seed–Series B),"ByteDance, Meituan, Pinduoduo, Didi, Klook",UC Regents,2024-Q2,0.96,0.0,-0.016,True,Formerly Sequoia China. Independent since 2023. Performance reflects China regulatory headwinds post-2021.,,,LP-Disclosed,unknown
IA Ventures,IA Ventures,IA Venture Strategies Fund I L.P.,,Venture,US VC - Data/Enterprise,7.10709,Derived from UTIMCO capital_contributed,0.5,2010.0,"New York, NY",Early stage VC — data,Early Stage,"Wise, Trade Desk, Betterment",UTIMCO,2023-02-28,12.5692,9.37,0.5409,False,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,unknown
IA Ventures,IA Ventures,IA Venture Strategies Fund II L.P.,,Venture,US VC - Data/Enterprise,30.0,Derived from UTIMCO capital_contributed,0.5,2010.0,"New York, NY",Early stage VC — data,Early Stage,"Wise, Trade Desk, Betterment",UTIMCO,2023-02-28,20.5974,9.64,0.4611,False,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,unknown
IVP,Institutional Venture Partners,"Institutional Venture Partners XIII, L.P.",2010.0,Venture,Growth VC (Series B–D),750.0,Estimated,10.0,1980.0,Menlo Park CA,Later-stage VC | Consumer | Enterprise | SaaS,Series B–D,"Twitter, Snap, Netflix, Dropbox, UiPath",Massachusetts PRIM,2020-Q1,1.71,1.65,0.112,True,Late-stage venture exposure with high realization and stable returns.,,,LP-Disclosed,unknown
IVP,Institutional Venture Partners,"Institutional Venture Partners XIV, L.P.",2013.0,Venture,Growth VC (Series B–D),1000.0,Estimated,10.0,1980.0,Menlo Park CA,Later-stage VC | Consumer | Enterprise | SaaS,Series B–D,"Twitter, Snap, Netflix, Dropbox, UiPath",Massachusetts PRIM,2020-Q1,1.47,1.4,0.097,True,Well-realized vintage with moderate net IRR profile.,,,LP-Disclosed,unknown
Insight Partners,Insight Partners,Insight Partners XI L.P.,2019.0,PE,US VC/PE - Growth,121.625,Derived from UTIMCO capital_contributed,,,,US VC/PE - Growth,Growth,,UTIMCO,2023-02-28,1.4559,0.0,0.1937,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Khosla Ventures,Khosla Ventures,"Khosla Ventures III, L.P.",2009.0,Venture,Multi-Stage VC,1050.0,Estimated,15.0,2004.0,Menlo Park CA,Climate | AI | Healthcare | Enterprise | Deep Tech,Multi-Stage (Seed–Growth),"OpenAI, DoorDash, Impossible Foods, Stripe",CalPERS,unknown,1.85,1.81,0.097,True,Mature fund — 1.85x TVPI with 1.81x DPI. Largely realized. 9.7% IRR modest vs top quartile but consistent with Khosla's high-variance strategy.,,,LP-Disclosed,unknown
Khosla Ventures,Khosla Ventures,Khosla Ventures IV,2011.0,Venture,Multi-Stage VC,600.0,Estimated,15.0,2004.0,Menlo Park CA,Deep Tech | Climate | Healthcare | AI | Consumer,Multi-Stage,"OpenAI, Square, DoorDash, Stripe, Impossible Foods, Okta",UC Regents,2024-Q2,4.43,3.04,0.231,True,Top-tier Khosla realization profile with substantial distributed cash.,,,LP-Disclosed,unknown
Khosla Ventures,Khosla Ventures,Khosla Ventures Seed,2009.0,Venture,Seed,300.0,Estimated,15.0,2004.0,Menlo Park CA,Deep Tech | Climate | Healthcare | AI | Consumer,Pre-Seed/Seed,"OpenAI, Square, DoorDash, Stripe, Impossible Foods, Okta",UC Regents,2024-Q2,1.53,0.21,0.038,True,Early Khosla seed vintage with moderate realized cash and remaining value.,,,LP-Disclosed,unknown
Khosla Ventures,Khosla Ventures,Khosla Ventures Seed B,2012.0,Venture,Seed,200.0,Estimated,15.0,2004.0,Menlo Park CA,Deep Tech | Climate | Healthcare | AI | Consumer,Pre-Seed/Seed,"OpenAI, Square, DoorDash, Stripe, Impossible Foods, Okta",UC Regents,2024-Q2,3.63,2.88,0.184,True,Highly realized seed vintage with strong absolute multiple outcomes.,,,LP-Disclosed,unknown
Khosla Ventures,Khosla Ventures,"Khosla Ventures Seed, L.P.",2009.0,Venture,Early VC,600.0,Estimated,15.0,2004.0,Menlo Park CA,Climate | AI | Healthcare | Consumer | Deep Tech,Seed,"Square, Clearbit, Kite",CalPERS,unknown,1.18,0.21,0.014,True,Mature seed fund — 1.18x TVPI. Low DPI (0.21x) relative to TVPI suggests remaining value still unrealized. 1.4% IRR disappointing for a 15-year-old seed fund.,,,LP-Disclosed,unknown
Khosla Ventures,Khosla Ventures,Khosla Ventures V,2014.0,Venture,Multi-Stage VC,700.0,Estimated,15.0,2004.0,Menlo Park CA,Deep Tech | Climate | Healthcare | AI | Consumer,Multi-Stage,"OpenAI, Square, DoorDash, Stripe, Impossible Foods, Okta",UC Regents,2024-Q2,2.91,1.42,0.19,True,Balanced realized/unrealized return mix with robust net returns.,,,LP-Disclosed,unknown
Lightspeed,Lightspeed Venture Partners,"Lightspeed Opportunity Fund II, LP",2022.0,Growth,Opportunities,2360.0,Confirmed,40.0,2000.0,Menlo Park CA,AI | Enterprise | Consumer | Fintech | Health,Late Stage / Crossover,"Anthropic, Databricks, Mistral, Snap",CalPERS,unknown,1.0,0.0,0.201,False,20.1% IRR strong for a 2022 vintage growth vehicle. No distributions yet — fully unrealized. Carries significant AI portfolio exposure.,,,LP-Disclosed,unknown
Lightspeed,Lightspeed Venture Partners,"Lightspeed Opportunity Fund III, L.P.",2025.0,Growth,Opportunities,3300.0,Confirmed,40.0,2000.0,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Late Stage / Crossover,,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. Part of Lightspeed's $9B+ 2025 raise.,,,LP-Disclosed,unknown
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners Select V, L.P.",2022.0,Growth,Growth Equity,2260.0,Confirmed,40.0,2000.0,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Growth (Series C–F),"Rubrik, Netskope, Navan",CalPERS,unknown,1.0,0.0,0.108,False,10.8% IRR for 2022 growth vintage — solid but wait for DPI before full judgment.,,,LP-Disclosed,unknown
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners Select VI, L.P.",2025.0,Growth,Growth Equity,1800.0,Confirmed,40.0,2000.0,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Growth (Series C–F),,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. Part of Lightspeed's $9B+ 2025 raise.,,,LP-Disclosed,unknown
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners XIV-A (Inception), L.P.",2022.0,Venture,Early VC,990.0,Confirmed,40.0,2000.0,Menlo Park CA,AI | Enterprise | Consumer | Fintech | Health,Early (Seed–Series B),"Abridge, Glean, Thinking Machines",CalPERS,unknown,1.0,0.0,0.169,False,16.9% IRR for a 2022 early-stage fund — very promising at this age. Inception/seed tranche of Fund XIV.,,,LP-Disclosed,unknown
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners XIV-B (Ignite), L.P.",2022.0,Venture,Early VC,990.0,Confirmed,40.0,2000.0,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Early (Series A–B),,CalPERS,unknown,1.0,0.0,0.228,False,22.8% IRR — strongest IRR in the Lightspeed 2022 cohort. Ignite tranche covers Series A–B. Watch this closely.,,,LP-Disclosed,unknown
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners XV-A (Inception), L.P.",2025.0,Venture,Early VC,980.0,Confirmed,40.0,2000.0,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. Part of Lightspeed's $9B+ 2025 raise.,,,LP-Disclosed,unknown
Lightspeed,Lightspeed Venture Partners,"Lightspeed Venture Partners XV-B (Ignite), L.P.",2025.0,Venture,Early VC,1200.0,Confirmed,40.0,2000.0,Menlo Park CA,AI | Enterprise | Consumer | Fintech,Early (Series A–B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. Part of Lightspeed's $9B+ 2025 raise.,,,LP-Disclosed,unknown
Mayfield,Mayfield,Mayfield Select,2017.0,Growth,Growth Equity,200.0,Estimated,3.0,1969.0,Menlo Park CA,Growth-stage select positions | Enterprise | Consumer,Growth (Series C–F),,Oregon Treasury,2025-Q3,1.75,1.14,0.153,True,1.75x TVPI with 1.14x DPI — generating real distributions. 15.3% IRR solid for growth vehicle. Select strategy doubles down on breakout Mayfield portfolio companies.,,,LP-Disclosed,unknown
Mayfield,Mayfield,Mayfield Select II,2021.0,Growth,Growth Equity,200.0,Estimated,3.0,1969.0,Menlo Park CA,Growth-stage select positions,Growth (Series C–F),,Oregon Treasury,2025-Q3,1.37,0.0,0.149,False,1.37x TVPI with 0 DPI. 14.9% IRR — early but directionally strong for a 2021 vintage with no distributions yet.,,,LP-Disclosed,unknown
Mayfield,Mayfield,Mayfield Select III,2023.0,Growth,Growth Equity,150.0,Estimated,3.0,1969.0,Menlo Park CA,Growth-stage select positions,Growth (Series C–F),,Oregon Treasury,2025-Q3,1.05,0.0,,False,Very early — 2023 vintage. Essentially at cost. IRR not reported.,,,LP-Disclosed,unknown
Mayfield,Mayfield,"Mayfield Select III, a Delaware Limited Partnership",2025.0,Growth,Growth Equity,150.0,Estimated,3.0,1969.0,Menlo Park CA,Growth-stage select positions,Growth (Series C–F),,CalPERS,unknown,1.0,0.0,,False,Too early — 2025 vintage. Appears as duplicate LP position vs Oregon Treasury entry.,,,LP-Disclosed,unknown
Mayfield,Mayfield,Mayfield XIV,2013.0,Venture,Early VC,200.0,Estimated,3.0,1969.0,Menlo Park CA,Enterprise SaaS | Consumer | AI | Healthcare,Early (Seed–Series B),"Poshmark, Lyft, HashiCorp, Marketo",Oregon Treasury,2025-Q3,3.8,2.75,0.198,True,Strong mature fund — 3.8x TVPI with 2.75x DPI. 19.8% IRR. Fully entering realization phase. Top-quartile by any benchmark for 2013 vintage.,,,LP-Disclosed,unknown
Mayfield,Mayfield,Mayfield XV,2017.0,Venture,Early VC,250.0,Estimated,3.0,1969.0,Menlo Park CA,Enterprise SaaS | AI | Consumer | Healthcare,Early (Seed–Series B),"Hugging Face, CloudSEK, Coda",Oregon Treasury,2025-Q3,2.19,0.39,0.158,True,2.19x TVPI with 0.39x DPI — early distributions starting. 15.8% IRR strong for 2017 vintage. Still substantially unrealized.,,,LP-Disclosed,unknown
Mayfield,Mayfield,Mayfield XVI,2021.0,Venture,Early VC,250.0,Estimated,3.0,1969.0,Menlo Park CA,Enterprise SaaS | AI | Consumer | Healthcare,Early (Seed–Series B),"Pixxel, OttoML",Oregon Treasury,2025-Q3,1.52,0.0,0.184,False,1.52x TVPI — strong markups for 2021. 18.4% IRR impressive with no distributions yet. One of the better 2021 vintage performers in the dataset.,,,LP-Disclosed,unknown
Mayfield,Mayfield,Mayfield XVII,2023.0,Venture,Early VC,250.0,Estimated,3.0,1969.0,Menlo Park CA,Enterprise SaaS | AI | Consumer | Healthcare,Early (Seed–Series B),,Oregon Treasury,2025-Q3,1.22,0.0,,False,Early — 2023 vintage. 1.22x marks up from cost. IRR not yet meaningful.,,,LP-Disclosed,unknown
Mayfield,Mayfield,"Mayfield XVII, a Delaware Limited Partnership",2024.0,Venture,Early VC,250.0,Estimated,3.0,1969.0,Menlo Park CA,Enterprise SaaS | AI | Consumer | Healthcare,Early (Seed–Series B),,CalPERS,unknown,1.0,0.0,,False,Too early — 2024 vintage. Appears as duplicate LP position vs Oregon Treasury entry.,,,LP-Disclosed,unknown
Morgenthaler Ventures,Morgenthaler Ventures,Morgenthaler Venture Partners III L.P.,1994.0,Venture,US VC - Generalist,15.0,Derived from UTIMCO capital_contributed,3.0,1968.0,"Cleveland, OH / Menlo Park, CA",Generalist VC,Early Stage,"Quanta, Xoma, Advanced Energy",UTIMCO,2023-02-28,3.0203,3.02,0.2753,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Morgenthaler Ventures,Morgenthaler Ventures,Morgenthaler Venture Partners IV L.P.,1997.0,Venture,US VC - Generalist,15.00233,Derived from UTIMCO capital_contributed,3.0,1968.0,"Cleveland, OH / Menlo Park, CA",Generalist VC,Early Stage,"Quanta, Xoma, Advanced Energy",UTIMCO,2023-02-28,2.1307,2.13,0.3313,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Morgenthaler Ventures,Morgenthaler Ventures,Morgenthaler Venture Partners IX L.P.,2013.0,Venture,US VC - Generalist,40.0,Derived from UTIMCO capital_contributed,3.0,1968.0,"Cleveland, OH / Menlo Park, CA",Generalist VC,Early Stage,"Quanta, Xoma, Advanced Energy",UTIMCO,2023-02-28,4.1102,3.99,0.2893,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
Mosaic Ventures,Mosaic Ventures,Mosaic Ventures I L.P.,2015.0,Venture,European VC - UK,28.76259,Derived from UTIMCO capital_contributed,0.5,2014.0,"London, UK",European early-stage VC,Buyout / PE,"Wayve, Cleo, Beamery",UTIMCO,2023-02-28,2.2995,0.0,0.1632,True,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,inferred
NeoTribe,NeoTribe Ventures,NeoTribe Ventures I,2017.0,Venture,Early VC,75.0,Estimated,0.6,2016.0,San Jose CA,Enterprise SaaS | Cybersecurity | Developer tools,Early (Seed–Series B),"Observe Inc., Abnormal Security, Domo",UC Regents,2024-Q2,2.51,0.72,0.224,True,Strong realized and unrealized performance for an early-stage specialist.,,,LP-Disclosed,unknown
NeoTribe,NeoTribe Ventures,"NeoTribe Ventures II, L.P.",2019.0,Venture,Early VC,150.0,Estimated,0.6,2016.0,San Jose CA,Enterprise SaaS | Cybersecurity | Developer tools,Early (Seed–Series B),"Observe Inc., Abnormal Security, Domo",UC Regents,2024-Q2,1.01,0.013,0.004,True,Performance remains near cost with limited distributions to date.,,,LP-Disclosed,unknown
Peak XV,Peak XV Partners,Peak XV Partners India Growth III,2020.0,Growth,Growth Equity,1350.0,Estimated,9.0,2006.0,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Growth (Series C–F),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,1.15,0.0,0.051,True,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed,unknown
Peak XV,Peak XV Partners,Peak XV Partners India Growth IV,2022.0,Growth,Growth Equity,2000.0,Estimated,9.0,2006.0,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Growth (Series C–F),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,,,,False,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed,unknown
Peak XV,Peak XV Partners,Peak XV Partners India Seed Fund I,2019.0,Venture,Seed,195.0,Estimated,9.0,2006.0,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Pre-Seed/Seed,"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,1.73,0.0,0.154,True,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed,unknown
Peak XV,Peak XV Partners,Peak XV Partners India Seed II,2021.0,Venture,Seed,195.0,Estimated,9.0,2006.0,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Pre-Seed/Seed,"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,1.03,0.086,0.015,False,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed,unknown
Peak XV,Peak XV Partners,Peak XV Partners India VI,2018.0,Growth,Growth Equity,1350.0,Estimated,9.0,2006.0,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Growth (Series C–F),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,2.45,0.0,0.218,True,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed,unknown
Peak XV,Peak XV Partners,Peak XV Partners India Venture VII,2020.0,Venture,Early VC,525.0,Estimated,9.0,2006.0,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Early (Seed–Series B),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,1.13,0.0,0.048,True,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed,unknown
Peak XV,Peak XV Partners,Peak XV Partners India Venture VIII,2022.0,Venture,Early VC,850.0,Estimated,9.0,2006.0,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Early (Seed–Series B),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,,,,False,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed,unknown
Peak XV,Peak XV Partners,Peak XV Partners SEA I,2022.0,Venture,Early VC,850.0,Estimated,9.0,2006.0,Bangalore India / Singapore,India | Southeast Asia | Enterprise | Consumer | Fintech,Early (Seed–Series B),"Byju's, Zomato, Razorpay, CRED, Grow",UC Regents,2024-Q2,,,,False,Formerly Sequoia India & Southeast Asia. Fully independent since 2023.,,,LP-Disclosed,unknown
Sante Ventures,Sante Ventures,Sante Health Ventures II LP,,Venture,US VC - Life Sciences,37.15814,Derived from UTIMCO capital_contributed,1.0,2006.0,"Austin, TX",Healthcare venture,Life Sciences,Health innovation,UTIMCO,2023-02-28,3.3099,2.81,0.3508,False,UTIMCO 2023 LP disclosure. Capital committed not reported; size proxied from capital contributed.,,,LP-Disclosed,unknown
Sequoia,Sequoia,Sequoia Capital (Legacy Funds),1999.0,Venture,Multi-Stage VC,750.0,Estimated,56.0,1972.0,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Multi-Stage,"Google, PayPal, YouTube, WhatsApp, Airbnb",UC Regents,2024-Q2,4.99,3.1,0.173,True,Long-duration legacy Sequoia vintages with strong realized distributions.,,,LP-Disclosed,unknown
Sequoia,Sequoia,Sequoia Capital Fund,2022.0,Venture,Multi-Stage VC,2850.0,Estimated,56.0,1972.0,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Multi-Stage,,UC Regents,2024-Q2,,,,False,Too early for meaningful performance metrics in LP disclosures.,,,LP-Disclosed,unknown
Sequoia,Sequoia,Sequoia Capital GGF III - U.S./India Annex Fund,2020.0,Growth,Growth Equity,2000.0,Estimated,56.0,1972.0,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Growth (Series C–F),,UC Regents,2024-Q2,0.93,0.0,-0.031,True,Early-mark fund with unrealized losses in current disclosure window.,,,LP-Disclosed,unknown
Sequoia,Sequoia,Sequoia Capital Global Growth III,2018.0,Growth,Growth Equity,8000.0,Estimated,56.0,1972.0,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Growth (Series C–F),"ByteDance, Klarna, Nubank",UC Regents,2024-Q2,1.9,0.42,0.187,True,Growth vehicle with moderate realization and strong net IRR for vintage.,,,LP-Disclosed,unknown
Sequoia,Sequoia,Sequoia Capital US Growth IX,2020.0,Growth,Growth Equity,2500.0,Estimated,56.0,1972.0,Menlo Park CA,Technology | Consumer | Healthcare | AI | Fintech,Growth (Series C–F),,UC Regents,2024-Q2,0.96,0.035,-0.017,True,Limited distributions to date; return profile remains mostly unrealized.,,,LP-Disclosed,unknown
